,category,submitted_by,published,updated,proposal/needed,Resources to be saved or improved,Benefits,Technology type,Technical fields,Stage of development,Project summary
Biocatalyst Modifications that Improve Biomass Conversion Efficiency,Farming and Forestry,University of Florida,"May 25, 2016","May 25, 2016",proposal,,"- Makes biomass conversion more efficient, saving time and money- Compatible with existing infrastructure, increasing the likelihood of adoption- Removes an obstacle to widespread use of cellulosic biomass, expanding the potential market",,"Energy > Biomass/Bioenergy
Farming & Forestry > Plant breeding
Other Areas > Other Areas
Energy > Wave/Tidal/Ocean",,
"Biochar Adsoption of Chemicals From Agriculture Drainage Water, Fracking Water And Other Polluted Waters",Pollution and Waste,South Dakota State University,"November 25, 2015","November 25, 2015",proposal,,Low cost and low energy input process,,Pollution & Waste > Water,,
Biochar as a Highly Effective Asphalt Binder-Modifier,Chemicals and Advanced Materials,University of Tennessee,"November 25, 2015","November 25, 2015",proposal,,"1) More effective asphalt binder-modifier than the commercially available activated carbon with high surface areas.

2) Potential to replace existing polymer binders with bio-based binder-modifier to make more affordable high-end cement.

3) Novel method can likely use a variety of biochar source materials as an asphalt binder-modifier.

4) Novel method can easily be incorporated into current bio-refinery systems to produce biochar.

5) Biochar is capable of reducing the asphalt\'s temperature susceptibility and significantly increases the rutting resistance of the asphalt binder.",,"Chemicals & Advanced Materials > Surface & finishing materials
Building & Construction > Roads",,
Biochar or Activated Biochar Adsorption of Long Chain Alcohols and Hydrocarbons from Process Fluids,Energy,South Dakota State University,"December 07, 2015","December 07, 2015",proposal,,"The majority of biochemical and thermochemical processes to produce biofuels result in dilute mixtures of many compounds. Efficient and low cost recovery is crucially needed to achieve economic feasibility. In many cases the various chemicals present in these mixtures are difficult to economically separate. For example, butanol production processes typically also generate low levels of acetone and ethanol. The proposed BC or BAC process would separate these chemicals into individual columns based on adsorption and temperature. 


The cyanofactory process being developed to produce third generation biofuels from CO2 results in volatilization of water and the specific chemical in the gas phase that passes through the photobioreactor. The BC or BAC columns would adsorb the water and chemical from the gas phase, and following desorption and condensation, the concentration of the chemical should be sufficient to allow low cost phase separation.",,Energy > Biomass/Bioenergy,,
Biocompatible And Biodegradable Microneedles Made From Silk,Green Products,"University of California, Berkeley (UC Berkeley)","November 25, 2015","November 25, 2015",proposal,,"1) Biocompatible, Biodegradable Nano-scale features (down to 25 nm).

2) High aspect ratio (up to 3.75, height to diameter).",,Green Products > Biodegradable/ Biocompatible products,,
Biodegradable De-Icer/Anti-Icer Formulations,Green Products,University of Iowa Research Foundation,"November 25, 2015","November 25, 2015",proposal,,"1) Inexpensive: makes use of readily available starting materials

2) Biodegradable  

3) Nontoxic to environment    ",,Green Products > Bio based products,,
Biodegradable Plastic Made from Plant Materials,Green Products,University of Florida,"May 26, 2016","May 26, 2016",proposal,,"AdvantagesPolymer is biodegradable and recyclable, making it a sustainable and eco-friendly alternative to  petroplasticsMade from potentially inexpensive raw materials, reducing manufacturing costsStarting components are abundant, ensuring that supply keeps pace with growing demandReduces the need for petroleum-based polymers, providing a competitive marketplace advantageTechnologyResearchers at the University of Florida have developed a cost-competitive \\\""green\\\"" alternative  to the petroplastic polyethylene terephthalate (PET). They employed a two-step process that uses readily available lignin extraction products, vanillin or ferulic acid, as a starting material for the production of poly (dihydroferulic acid) (PHFA). In one embodiment of the invention, the researchers derived acetyldihydroferulic acid  from lignin and then combined this monomer with a catalyst to initiate polymerization (i.e. plastic formation). The starting materials are byproducts of paper production and the polymer decomposition product is dihydroferulic acid, a common plant metabolite. Thus the new PHFA bioplastic is an attractive, ecofriendly alternative to PET.",,Green Products > Bio based products,,
Biodegradable Plastics with High Glass Transition Temperatures Replace PET and Polystyrene,Green Products,Michigan State University,"November 25, 2015","November 25, 2015",proposal,,"(1) Renewable: These biodegradable polymer (cyclic alkyl-substituted glycolides and polylactides ) structures are derived from lactic acid precursors which are common by-products of fermentation processes.


(2) Environmentally friendly: In bulk volumes, PET and polystyrene are commonly used for packaging. PET is used for most disposable drink bottles and polystyrene is used for protective packaging. These alternates would provide the same function, but with the benefit of shorter lifetimes in post consumer waste streams (years instead of decades). The by-products of the degradation reaction are environmentally friendly and benign compounds very similar to amino acids.",,Green Products > Biodegradable/ Biocompatible products,,
Biodegradable Polymeric Nanocomposite Compositions Particularly for Packaging,Chemicals and Advanced Materials,Michigan State University,"November 25, 2015","November 25, 2015",proposal,,"(1) Enables improved barrier packaging with a biodegradable film: The bio-based blend provided by this invention can be formed to make film for high barrier applications and will not be environmentally burdensome.   


(2) Reinforced film has high performance characteristics: Polymer-clay nanocomposites have good dimensional stability; resist permeation of oxygen, water vapor, and carbon dioxide; have a higher heat distortion temperature; improved flame retardancy; and improved thermo-mechanical properties compared to polymers without reinforcements.",,Chemicals & Advanced Materials > Packaging materials & fabric,,
Biodegradable Soil Sensors that can be “Planted” with a Seed Mixture,Farming and Forestry,NDSU Research Foundation,"November 25, 2015","November 25, 2015",proposal,,"1) Measures chemical and moisture content of soil to ensure optimal growing conditions.


2) Biodegradable sensors decompose over time leaving no harmful substances behind.


3) Small, similar in size to the seed being planted, and easily deployed across a field.


4) Bio-based, environmentally friendly; uses materials derived from agricultural products.


5) Information is read wirelessly in real-time using a device on an agricultural vehicle.


6) Dramatically improves precision farming practices and increases crop yields.",,Farming & Forestry > Soil improvement,,
